Agency,Sub_contractor,Cluster,Site,Machines,Total_capacity_per_day,Total_waste_to_be_remediated,date,ticket_no,net_weight_calculated,_source_company
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0279,20140,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0280,19610,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0281,19880,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0282,20400,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0283,20570,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0284,21060,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0285,21450,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0286,19070,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0287,19690,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0288,19930,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0289,18520,Saurashtra_Enviro_Projects_Pvt._Ltd.
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,"67,308",16-06-2025,T0290,19360,Saurashtra_Enviro_Projects_Pvt._Ltd.
